turn_label,correct,mean_entropy,std_entropy,n
after_tool_1+,0,0.4112201278523728,0.09347786294628625,7
after_tool_1+,1,0.3062828524047541,0.10371367464351276,31
after_tool_2+,0,0.4483755739670454,0.2980045020090455,7
after_tool_2+,1,0.2866541260795281,0.11792272214581431,80
after_tool_3+,0,0.5799626085907569,0.10234646155088255,3
after_tool_3+,1,0.30751117179011955,0.13996459032428096,36
after_tool_4+,0,0.3525367280771785,0.040568259549801006,2
after_tool_4+,1,0.26565972986308906,0.10805403891315589,20
baseline,0,0.30158360034481757,0.06459054434551317,9
baseline,1,0.3153547686706025,0.09150020099754126,63
