benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
AIMEPass4,OpenCode,failure,max_entropy,35,0,35,2.614553,2.662748,0.193071,1.956927,2.551731,2.745943,2.876299
AIMEPass4,OpenCode,failure,p50_entropy,35,0,35,0.025864,0.007631,0.054244,0.000313,0.000720,0.019796,0.276261
AIMEPass4,OpenCode,failure,p90_entropy,35,0,35,0.806762,0.881123,0.454512,0.000987,0.668910,1.102706,1.532535
AIMEPass4,OpenCode,failure,n_tokens,35,0,35,31404.914286,13792.000000,40453.370688,336.000000,5807.500000,33153.000000,131072.000000
AIMEPass4,OpenCode,failure,wall_time_sec,35,0,35,2400.610500,499.232507,3311.229988,45.263970,225.150674,3993.766548,9308.851873
AIMEPass4,OpenCode,failure,action_event_count,35,0,35,467.000000,250.000000,494.789421,17.000000,139.000000,671.000000,2296.000000
AIMEPass4,OpenCode,failure,tool_call_count,35,0,35,0.314286,0.000000,0.707972,0.000000,0.000000,0.000000,2.000000
AIMEPass4,OpenCode,success,mean_entropy,80,0,80,0.230772,0.228401,0.075565,0.028490,0.184219,0.269068,0.435622
AIMEPass4,OpenCode,success,max_entropy,80,0,80,2.488172,2.528359,0.215752,1.957741,2.391357,2.636874,2.815338
AIMEPass4,OpenCode,success,p50_entropy,80,0,80,0.008427,0.003664,0.014077,0.000315,0.001453,0.009161,0.097986
AIMEPass4,OpenCode,success,p90_entropy,80,0,80,0.848446,0.877736,0.246409,0.002720,0.708042,0.982824,1.348248
AIMEPass4,OpenCode,success,n_tokens,80,0,80,6146.587500,2485.000000,9602.979234,408.000000,1491.500000,5830.250000,66487.000000
AIMEPass4,OpenCode,success,wall_time_sec,80,0,80,470.665890,140.562085,1135.072016,33.079356,84.493678,357.158841,8336.496961
AIMEPass4,OpenCode,success,action_event_count,80,0,80,197.700000,88.000000,262.556680,18.000000,60.000000,206.000000,1448.000000
AIMEPass4,OpenCode,success,tool_call_count,80,0,80,1.837500,1.000000,2.561463,0.000000,0.000000,2.000000,16.000000
AIMEPass4,OpenCode,unknown,mean_entropy,5,0,5,0.081411,0.074895,0.025712,0.050185,0.073032,0.080448,0.128494
AIMEPass4,OpenCode,unknown,max_entropy,5,0,5,2.690148,2.696186,0.036895,2.631424,2.668548,2.720381,2.734200
AIMEPass4,OpenCode,unknown,p50_entropy,5,0,5,0.000874,0.000453,0.000721,0.000262,0.000410,0.001024,0.002218
AIMEPass4,OpenCode,unknown,p90_entropy,5,0,5,0.130640,0.040211,0.188216,0.020156,0.020212,0.067129,0.505493
AIMEPass4,OpenCode,unknown,n_tokens,5,0,5,90092.800000,95481.000000,28241.482868,42009.000000,81301.000000,104790.000000,126883.000000
AIMEPass4,OpenCode,unknown,wall_time_sec,5,0,5,9004.519500,9004.932144,0.960057,9002.672005,9004.525969,9005.184407,9005.282973
AIMEPass4,OpenCode,unknown,action_event_count,5,0,5,1187.400000,1608.000000,690.097558,251.000000,455.000000,1734.000000,1889.000000
AIMEPass4,OpenCode,unknown,tool_call_count,5,0,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,ZeroClaw,failure,mean_entropy,37,0,37,0.055769,0.000000,0.087179,0.000000,0.000000,0.104892,0.349696
AIMEPass4,ZeroClaw,failure,max_entropy,37,0,37,0.916301,0.000000,1.177385,0.000000,0.000000,2.323833,2.706038
AIMEPass4,ZeroClaw,failure,p50_entropy,37,0,37,0.000910,0.000000,0.004144,0.000000,0.000000,0.000232,0.025542
AIMEPass4,ZeroClaw,failure,p90_entropy,37,0,37,0.213595,0.000000,0.329635,0.000000,0.000000,0.438570,1.163545
AIMEPass4,ZeroClaw,failure,n_tokens,37,23,14,17253.428571,7402.000000,32568.423675,877.000000,3346.250000,10531.000000,131072.000000
AIMEPass4,ZeroClaw,failure,wall_time_sec,37,0,37,7123.634870,9307.043723,3709.903157,123.270686,6536.070823,9308.525160,9311.008564
AIMEPass4,ZeroClaw,failure,action_event_count,37,0,37,97.351351,1.000000,291.727772,1.000000,1.000000,56.000000,1690.000000
AIMEPass4,ZeroClaw,failure,tool_call_count,37,0,37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,ZeroClaw,success,mean_entropy,83,0,83,0.127627,0.123583,0.040636,0.037640,0.104821,0.145329,0.262717
AIMEPass4,ZeroClaw,success,max_entropy,83,0,83,2.251640,2.286499,0.244247,1.583035,2.121779,2.461932,2.689073
AIMEPass4,ZeroClaw,success,p50_entropy,83,0,83,0.000564,0.000198,0.001453,0.000074,0.000161,0.000369,0.011874
AIMEPass4,ZeroClaw,success,p90_entropy,83,0,83,0.521571,0.540803,0.180011,0.016171,0.431824,0.632492,0.943710
AIMEPass4,ZeroClaw,success,n_tokens,83,0,83,5228.132530,3256.000000,4308.270544,1399.000000,2228.500000,7307.500000,18236.000000
AIMEPass4,ZeroClaw,success,wall_time_sec,83,0,83,690.525531,216.804890,1155.122748,72.314588,133.465168,609.206456,6089.797657
