offset,mean_all,mean_correct,mean_wrong,n
-15,0.42829540449016895,0.4330121550084428,0.3744458360732088,149
-14,0.4793827007123387,0.47216932823887797,0.5617353697843493,149
-13,0.5747550230265741,0.601813224821333,0.2658405525364106,149
-12,0.4506414261044826,0.4576704596903621,0.3703932926656914,149
-11,0.35537456893175895,0.35620535543050813,0.34588975640437325,149
-10,0.4411164457127927,0.4573518848784771,0.25576184857122797,149
-9,0.22827103833218476,0.19596555628060328,0.5970919584210738,149
-8,0.17430871480531107,0.16188206971329375,0.3161795796058427,149
-7,0.020676298116589956,0.015562724590228286,0.07905626254255231,149
-6,0.0069797815994199685,0.007591026019628751,1.4078020363572519e-06,149
-5,7.310467910978423e-06,7.704352651917379e-06,2.8136171185920478e-06,149
-4,9.71815405376412e-06,1.0262493986928256e-05,3.503606483473587e-06,149
-3,2.8460164614551322e-06,2.739794619052866e-06,4.0587158288810075e-06,149
-2,3.216805227508913e-06,3.254151002287334e-06,2.7904409654552737e-06,149
-1,0.01624157087072453,0.003163804766829976,0.16554606722352067,149
0,0.6821713485045021,0.6646310160886233,0.8824234769191194,149
1,0.3385241415683399,0.33785435268793257,0.34617089795298933,149
2,0.6827869865268155,0.6796195800622227,0.718948210330916,149
3,0.5750010845566028,0.5592204574140252,0.7551632444343629,149
4,0.35751661307716964,0.3510877122940717,0.4309132303508705,149
5,0.37483018014833924,0.3834307870818836,0.2766399176570418,149
6,0.3552097228385647,0.3406357677466427,0.5215957101380063,149
7,0.2886874795366329,0.2647659373464064,0.561791752875052,149
8,0.33068380861370167,0.2960162408097115,0.7264718743759219,149
9,0.32589843884939423,0.2885632880780743,0.7521414101552971,149
10,0.3025633461428042,0.30128752447448043,0.31712897685616787,149
11,0.2908234165319001,0.25532456993817043,0.6961019151436472,149
12,0.235702264983047,0.1986635612762217,0.6585607989693029,149
13,0.24052101265327794,0.2264569793992833,0.4010853923030498,149
14,0.22259835719448917,0.2130543337930368,0.33155929102773724,149
15,0.2669375141540792,0.24257203810462435,0.5451100323853546,149
