entropy_threshold,low_entropy_n,high_entropy_n,wrong_rate_low_entropy,wrong_rate_high_entropy,inversion_lift
0.02,7,179,1.0,0.2849162011173184,0.7150837988826816
0.03,16,170,1.0,0.24705882352941178,0.7529411764705882
0.037,22,164,1.0,0.21951219512195122,0.7804878048780488
0.048,31,155,0.967741935483871,0.18064516129032257,0.7870967741935484
0.095,37,149,0.9459459459459459,0.15436241610738255,0.7915835298385634
0.11,43,143,0.8604651162790697,0.14685314685314685,0.7136119694259229
0.127,50,136,0.76,0.14705882352941177,0.6129411764705882
0.144,56,130,0.6964285714285714,0.14615384615384616,0.5502747252747252
0.165,63,123,0.6190476190476191,0.15447154471544716,0.4645760743321719
0.175,71,115,0.5774647887323944,0.14782608695652175,0.4296387017758726
0.199,80,106,0.525,0.1509433962264151,0.37405660377358496
0.213,86,100,0.4883720930232558,0.16,0.32837209302325576
0.222,96,90,0.4375,0.17777777777777778,0.2597222222222222
0.238,102,84,0.4117647058823529,0.19047619047619047,0.22128851540616246
0.257,112,74,0.38392857142857145,0.20270270270270271,0.18122586872586874
0.275,119,67,0.3697478991596639,0.208955223880597,0.16079267527906688
0.289,127,59,0.3543307086614173,0.22033898305084745,0.13399172561056985
0.312,132,54,0.3484848484848485,0.2222222222222222,0.1262626262626263
0.329,140,46,0.32857142857142857,0.2608695652173913,0.06770186335403727
0.337,149,37,0.3087248322147651,0.32432432432432434,-0.015599492109559243
0.35,156,30,0.32051282051282054,0.26666666666666666,0.05384615384615388
0.362,164,22,0.3170731707317073,0.2727272727272727,0.044345898004434614
0.38,171,15,0.30409356725146197,0.4,-0.09590643274853805
0.411,178,8,0.30337078651685395,0.5,-0.19662921348314605
0.491,183,3,0.30601092896174864,0.6666666666666666,-0.360655737704918
