turn_label,correct_entropy,wrong_entropy,wrong_minus_correct_entropy,separation_gain_vs_baseline,correct_n,wrong_n
after_tool_1+,0.3062828524047541,0.4112201278523728,0.10493727544761866,0.11870844377340362,31,7
after_tool_2+,0.2866541260795281,0.4483755739670454,0.1617214478875173,0.17549261621330225,80,7
after_tool_3+,0.30751117179011955,0.5799626085907569,0.2724514368006373,0.2862226051264223,36,3
after_tool_4+,0.26565972986308906,0.3525367280771785,0.08687699821408945,0.1006481665398744,20,2
baseline,0.3153547686706025,0.30158360034481757,-0.013771168325784955,0.0,63,9
boundary_shock_integral_0_15,,,3.318621985279426,,,
