model,harness,benchmark,avg_decision_logprob,final_answer_logprob,uncertainty_volatility,confidence_correctness_gap,median_entropy_split,n_tasks
Qwen3.5-27B,directllm,GPQA-Diamond,0.3168,logprob_unavailable,logprob_unavailable,0.0303,0.3168,198
Qwen3.5-27B,directllm,HLE,0.3333,logprob_unavailable,logprob_unavailable,0.0728,0.3364,323
Qwen3.5-27B,openclaw,GPQA-Diamond,0.2057,0.1764,0.1344,-0.3535,0.2141,198
Qwen3.5-27B,opencode,GPQA-Diamond,0.2992,0.1891,0.1633,0.0027,0.2999,197
Qwen3.5-27B,opencode,HLE,0.3438,0.2742,0.1746,-0.0614,0.3918,591
Qwen3.5-27B,zeroclaw,GPQA-Diamond,0.2698,0.1996,0.1504,0.2429,0.2643,191
Qwen3.5-27B,zeroclaw,HLE,0.3419,0.2851,0.1694,0.0147,0.3541,591
