task_id,harness,benchmark,n_tokens,head_entropy,tail_entropy,delta_entropy,low_ent_share,top1_prob_mean
hle_1150,zeroclaw,HLE,3164,0.333137,0.170739,-0.162398,0.2497,0.9147
hle_1153,zeroclaw,HLE,1765,0.42114,0.151298,-0.269843,0.2499,0.8863
hle_1159,zeroclaw,HLE,1693,0.413764,0.294869,-0.118894,0.2499,0.8564
hle_1166,zeroclaw,HLE,1446,0.232217,0.40023,0.168013,0.2503,0.8492
hle_1174,zeroclaw,HLE,977,0.590622,0.365378,-0.225244,0.2497,0.8118
hle_1177,zeroclaw,HLE,1294,0.318832,0.300786,-0.018047,0.2504,0.8417
hle_1179,zeroclaw,HLE,960,0.30768,0.192576,-0.115104,0.25,0.8939
hle_118,zeroclaw,HLE,942,0.369139,0.298317,-0.070823,0.2505,0.8668
hle_1182,zeroclaw,HLE,2295,0.375385,0.019863,-0.355523,0.2475,0.9333
hle_1188,zeroclaw,HLE,1089,0.323485,0.478503,0.155018,0.2498,0.8393
hle_119,zeroclaw,HLE,10487,0.297759,0.098854,-0.198905,0.2491,0.9446
hle_1192,zeroclaw,HLE,895,0.296641,0.217841,-0.0788,0.2503,0.8748
hle_1196,zeroclaw,HLE,1485,0.357796,0.320333,-0.037463,0.2498,0.8404
hle_120,zeroclaw,HLE,1157,0.267181,0.236467,-0.030714,0.2489,0.8835
hle_1207,zeroclaw,HLE,2723,0.444372,0.402752,-0.04162,0.2501,0.8452
hle_1215,zeroclaw,HLE,3455,0.451841,0.233272,-0.21857,0.2492,0.9066
hle_1219,zeroclaw,HLE,1071,0.356596,0.417168,0.060572,0.2502,0.8345
hle_1220,zeroclaw,HLE,1517,0.452656,0.383323,-0.069333,0.2498,0.8247
hle_123,zeroclaw,HLE,1814,0.333359,0.389062,0.055703,0.2503,0.8473
hle_1234,zeroclaw,HLE,2057,0.375399,0.268016,-0.107383,0.2499,0.875
hle_1235,zeroclaw,HLE,1882,0.359165,0.035304,-0.323861,0.2497,0.9219
hle_1236,zeroclaw,HLE,1032,0.089675,0.36909,0.279415,0.2452,0.9491
hle_1240,zeroclaw,HLE,2456,0.252042,0.480296,0.228254,0.25,0.8652
hle_1241,zeroclaw,HLE,826,0.415645,0.298255,-0.11739,0.2506,0.8829
hle_1246,zeroclaw,HLE,2935,0.382271,0.19639,-0.185881,0.2501,0.8917
hle_1249,zeroclaw,HLE,1233,0.47842,0.27888,-0.199541,0.2498,0.8595
hle_126,zeroclaw,HLE,2230,0.353716,0.166466,-0.18725,0.2498,0.9005
hle_1260,zeroclaw,HLE,2609,0.234105,0.270546,0.036441,0.2499,0.8428
hle_1263,zeroclaw,HLE,1410,0.490833,0.282232,-0.208602,0.2504,0.8667
hle_1269,zeroclaw,HLE,919,0.257844,0.128469,-0.129375,0.2481,0.8973
hle_1272,zeroclaw,HLE,1452,0.422796,0.25747,-0.165326,0.25,0.8702
hle_1276,zeroclaw,HLE,1389,0.302739,0.245127,-0.057612,0.2498,0.8802
hle_1285,zeroclaw,HLE,1181,0.373976,0.335306,-0.03867,0.2498,0.845
hle_1290,zeroclaw,HLE,954,0.280313,0.419926,0.139613,0.2505,0.8492
hle_1292,zeroclaw,HLE,1945,0.326604,0.073482,-0.253122,0.2488,0.906
hle_1298,zeroclaw,HLE,1525,0.205814,0.203025,-0.002789,0.2492,0.8954
hle_13,zeroclaw,HLE,6464,0.415324,0.120968,-0.294357,0.2497,0.9189
hle_1308,zeroclaw,HLE,4628,0.186051,0.054282,-0.131768,0.2498,0.9706
hle_1309,zeroclaw,HLE,763,0.438858,0.475942,0.037084,0.2503,0.8425
hle_131,zeroclaw,HLE,1146,0.374285,0.413189,0.038905,0.2504,0.8242
hle_1312,zeroclaw,HLE,1645,0.335662,0.170011,-0.165651,0.2498,0.8504
hle_1315,zeroclaw,HLE,955,0.363216,0.381124,0.017907,0.2503,0.8644
hle_1316,zeroclaw,HLE,1003,0.410278,0.362677,-0.047601,0.2502,0.8467
hle_1317,zeroclaw,HLE,4300,0.408292,0.194508,-0.213785,0.25,0.8964
hle_1325,zeroclaw,HLE,2925,0.530537,0.246145,-0.284392,0.2499,0.8654
hle_1330,zeroclaw,HLE,1635,0.524985,0.301153,-0.223833,0.2502,0.8279
hle_1332,zeroclaw,HLE,3111,0.17697,0.297969,0.120998,0.2494,0.8922
hle_1333,zeroclaw,HLE,1756,0.372489,0.386234,0.013745,0.25,0.8515
hle_1334,zeroclaw,HLE,826,0.409642,0.349734,-0.059908,0.2506,0.8532
hle_1339,zeroclaw,HLE,1138,0.345343,0.354576,0.009233,0.2504,0.8679
hle_1340,zeroclaw,HLE,1094,0.328712,0.337128,0.008416,0.2505,0.8518
hle_1341,zeroclaw,HLE,1837,0.249384,0.258521,0.009137,0.2499,0.8629
hle_1342,zeroclaw,HLE,3460,0.450675,0.154866,-0.29581,0.2497,0.8964
hle_1344,zeroclaw,HLE,1080,0.406333,0.255918,-0.150415,0.25,0.856
hle_1347,zeroclaw,HLE,786,0.241757,0.212859,-0.028898,0.2506,0.9
hle_1365,zeroclaw,HLE,1857,0.416066,0.352079,-0.063987,0.2499,0.8098
hle_1370,zeroclaw,HLE,689,0.371204,0.469391,0.098187,0.2496,0.858
hle_1376,zeroclaw,HLE,1432,0.34839,0.314246,-0.034145,0.25,0.8456
hle_1379,zeroclaw,HLE,9395,0.455336,0.403851,-0.051486,0.25,0.8246
hle_138,zeroclaw,HLE,7080,0.213218,0.048842,-0.164376,0.2476,0.9568
hle_1380,zeroclaw,HLE,1204,0.449061,0.289298,-0.159763,0.25,0.8707
hle_1381,zeroclaw,HLE,862,0.350313,0.356109,0.005797,0.2506,0.8648
hle_1382,zeroclaw,HLE,1649,0.362876,0.360144,-0.002732,0.2498,0.8294
hle_1383,zeroclaw,HLE,1228,0.294529,0.334426,0.039896,0.25,0.8839
hle_1384,zeroclaw,HLE,2372,0.293613,0.273632,-0.019981,0.25,0.8591
hle_1385,zeroclaw,HLE,1628,0.418556,0.386555,-0.032,0.2494,0.821
hle_1386,zeroclaw,HLE,1282,0.362944,0.380819,0.017875,0.2496,0.8614
hle_1388,zeroclaw,HLE,1484,0.392196,0.303227,-0.088968,0.25,0.8557
hle_1389,zeroclaw,HLE,1013,0.415945,0.317485,-0.09846,0.2498,0.8541
hle_1390,zeroclaw,HLE,1283,0.240156,0.262698,0.022542,0.2502,0.8874
hle_1391,zeroclaw,HLE,1457,0.373227,0.276508,-0.096719,0.2498,0.8641
hle_1392,zeroclaw,HLE,4909,0.133903,0.113931,-0.019972,0.2495,0.9479
hle_1393,zeroclaw,HLE,1353,0.296962,0.33119,0.034227,0.2498,0.8655
hle_1394,zeroclaw,HLE,3280,0.385296,0.225443,-0.159854,0.2491,0.9112
hle_1395,zeroclaw,HLE,993,0.471229,0.329816,-0.141413,0.2497,0.8375
hle_1396,zeroclaw,HLE,1885,0.37957,0.210736,-0.168833,0.2499,0.8823
hle_1397,zeroclaw,HLE,1712,0.427651,0.313637,-0.114014,0.25,0.8266
hle_1399,zeroclaw,HLE,7374,0.149863,0.065192,-0.084671,0.2497,0.9595
hle_14,zeroclaw,HLE,3984,0.384206,0.322286,-0.06192,0.25,0.8586
hle_1401,zeroclaw,HLE,1565,0.346898,0.352266,0.005369,0.2498,0.844
hle_1407,zeroclaw,HLE,2251,0.262281,0.158851,-0.10343,0.2501,0.8731
hle_141,zeroclaw,HLE,1082,0.207261,0.301294,0.094033,0.2505,0.8572
hle_1415,zeroclaw,HLE,3763,0.415121,0.228321,-0.1868,0.2501,0.8684
hle_1419,zeroclaw,HLE,1494,0.362384,0.25588,-0.106504,0.2503,0.8538
hle_142,zeroclaw,HLE,880,0.320067,0.350075,0.030007,0.25,0.8579
hle_1420,zeroclaw,HLE,1118,0.324172,0.273331,-0.050841,0.2504,0.8616
hle_1423,zeroclaw,HLE,3108,0.523459,0.286811,-0.236648,0.2497,0.8597
hle_1424,zeroclaw,HLE,1062,0.475173,0.508265,0.033092,0.2505,0.8207
hle_1433,zeroclaw,HLE,1891,0.350146,0.179125,-0.171021,0.2501,0.9141
hle_144,zeroclaw,HLE,1244,0.383253,0.403362,0.020108,0.25,0.8535
hle_1444,zeroclaw,HLE,1673,0.34869,0.230362,-0.118329,0.2499,0.8969
hle_1446,zeroclaw,HLE,1295,0.22317,0.40025,0.17708,0.2502,0.8567
hle_145,zeroclaw,HLE,1851,0.367864,0.479811,0.111947,0.2501,0.8345
hle_1452,zeroclaw,HLE,1598,0.453232,0.402078,-0.051154,0.2503,0.8435
hle_1457,zeroclaw,HLE,1891,0.538954,0.381032,-0.157921,0.2501,0.8138
hle_1458,zeroclaw,HLE,1507,0.366829,0.376796,0.009967,0.2502,0.8367
hle_1459,zeroclaw,HLE,4207,0.329386,0.21784,-0.111546,0.2489,0.9388
hle_1460,zeroclaw,HLE,1230,0.310806,0.426258,0.115452,0.2504,0.861
hle_1462,zeroclaw,HLE,6302,0.33458,0.081259,-0.253321,0.2498,0.9307
hle_1481,zeroclaw,HLE,2314,0.411875,0.27897,-0.132905,0.2502,0.8534
hle_1487,zeroclaw,HLE,4270,0.444991,0.151184,-0.293807,0.2499,0.892
hle_1488,zeroclaw,HLE,6687,0.215002,0.085255,-0.129747,0.249,0.9574
hle_1489,zeroclaw,HLE,3479,0.540413,0.290497,-0.249917,0.2501,0.8615
hle_1494,zeroclaw,HLE,1531,0.330835,0.285689,-0.045146,0.2502,0.8398
hle_1502,zeroclaw,HLE,1596,0.206175,0.244501,0.038326,0.25,0.8791
hle_1504,zeroclaw,HLE,5913,0.25001,0.155591,-0.094419,0.2484,0.9207
hle_1505,zeroclaw,HLE,1331,0.238314,0.206785,-0.031529,0.2502,0.8775
hle_1509,zeroclaw,HLE,3973,0.393833,0.024645,-0.369188,0.2477,0.954
hle_1511,zeroclaw,HLE,1213,0.384651,0.246648,-0.138002,0.2498,0.8702
hle_1512,zeroclaw,HLE,1575,0.233923,0.099146,-0.134777,0.2502,0.9227
hle_1513,zeroclaw,HLE,1550,0.585058,0.279463,-0.305595,0.2503,0.8453
hle_1517,zeroclaw,HLE,3780,0.308852,0.167488,-0.141364,0.25,0.9115
hle_1518,zeroclaw,HLE,2442,0.523582,0.280329,-0.243252,0.2502,0.8506
hle_1519,zeroclaw,HLE,2582,0.503138,0.247698,-0.25544,0.2502,0.8763
hle_1520,zeroclaw,HLE,3478,0.31133,0.206834,-0.104496,0.2496,0.9076
hle_1522,zeroclaw,HLE,1328,0.326996,0.440421,0.113425,0.25,0.85
hle_1524,zeroclaw,HLE,1593,0.500247,0.396493,-0.103754,0.2498,0.8133
hle_1530,zeroclaw,HLE,1275,0.206559,0.272797,0.066238,0.2494,0.8863
hle_1534,zeroclaw,HLE,2180,0.4981,0.470253,-0.027847,0.25,0.8127
hle_1536,zeroclaw,HLE,1531,0.269544,0.270523,0.000979,0.2502,0.8762
hle_1545,zeroclaw,HLE,5126,0.329377,0.190845,-0.138533,0.2499,0.9078
hle_1546,zeroclaw,HLE,2588,0.511699,0.238567,-0.273131,0.25,0.8743
hle_1547,zeroclaw,HLE,1834,0.257818,0.224334,-0.033484,0.2503,0.8508
hle_155,zeroclaw,HLE,1853,0.164329,0.347326,0.182996,0.2499,0.8599
hle_1553,zeroclaw,HLE,2070,0.458326,0.242504,-0.215821,0.2502,0.8693
hle_1565,zeroclaw,HLE,907,0.442157,0.388715,-0.053442,0.2503,0.8409
hle_1567,zeroclaw,HLE,2176,0.28718,0.092308,-0.194872,0.2495,0.9151
hle_1568,zeroclaw,HLE,1026,0.484869,0.57592,0.091051,0.2505,0.8014
hle_1569,zeroclaw,HLE,2541,0.425151,0.297391,-0.12776,0.2499,0.8619
hle_1572,zeroclaw,HLE,1281,0.288464,0.242441,-0.046023,0.2498,0.8945
hle_1577,zeroclaw,HLE,928,0.228727,0.320815,0.092087,0.25,0.8854
hle_158,zeroclaw,HLE,1848,0.632594,0.324354,-0.30824,0.25,0.8507
hle_1586,zeroclaw,HLE,1360,0.349168,0.339824,-0.009344,0.25,0.858
hle_1590,zeroclaw,HLE,3113,0.330715,0.20189,-0.128825,0.2496,0.9021
hle_1596,zeroclaw,HLE,1087,0.396335,0.499056,0.102721,0.2502,0.8299
hle_1598,zeroclaw,HLE,1468,0.346461,0.212612,-0.133849,0.25,0.8835
hle_16,zeroclaw,HLE,1019,0.401695,0.464588,0.062893,0.2502,0.8151
hle_1601,zeroclaw,HLE,1658,0.411274,0.318701,-0.092573,0.2503,0.8256
hle_1606,zeroclaw,HLE,12381,0.144806,0.147113,0.002307,0.2499,0.9461
hle_1613,zeroclaw,HLE,1938,0.280575,0.318472,0.037896,0.2503,0.8597
hle_1630,zeroclaw,HLE,1083,0.492192,0.332679,-0.159513,0.2502,0.8234
hle_1651,zeroclaw,HLE,1054,0.222747,0.362909,0.140162,0.2505,0.864
hle_1666,zeroclaw,HLE,1412,0.305874,0.26278,-0.043094,0.25,0.8915
hle_167,zeroclaw,HLE,597,0.16039,0.147051,-0.013339,0.2496,0.9435
hle_1672,zeroclaw,HLE,1793,0.168151,0.402128,0.233977,0.2499,0.8617
hle_1676,zeroclaw,HLE,1667,0.324293,0.268628,-0.055665,0.2501,0.8542
hle_1679,zeroclaw,HLE,1508,0.212755,0.243877,0.031123,0.25,0.8854
hle_1680,zeroclaw,HLE,1447,0.400607,0.366971,-0.033636,0.2502,0.8459
hle_1682,zeroclaw,HLE,1072,0.442102,0.304778,-0.137324,0.25,0.8414
hle_1683,zeroclaw,HLE,2903,0.07111,0.035826,-0.035284,0.248,0.9869
hle_1685,zeroclaw,HLE,3504,0.268836,0.490476,0.22164,0.25,0.8993
hle_1686,zeroclaw,HLE,602,0.281866,0.379172,0.097306,0.2492,0.8586
hle_1690,zeroclaw,HLE,3137,0.114506,0.24239,0.127884,0.2486,0.8879
hle_1694,zeroclaw,HLE,2480,0.362291,0.15798,-0.204311,0.25,0.8874
hle_1696,zeroclaw,HLE,4781,0.359694,0.159948,-0.199746,0.2499,0.9097
hle_1697,zeroclaw,HLE,1307,0.269611,0.25421,-0.015401,0.2502,0.8958
hle_1699,zeroclaw,HLE,984,0.360635,0.347696,-0.012939,0.25,0.8411
hle_1705,zeroclaw,HLE,3202,0.520662,0.238621,-0.282041,0.2502,0.8829
hle_1716,zeroclaw,HLE,999,0.535861,0.623256,0.087396,0.2503,0.801
hle_1719,zeroclaw,HLE,7813,0.179348,0.27608,0.096732,0.2487,0.9234
hle_1740,zeroclaw,HLE,1653,0.312737,0.230593,-0.082144,0.2492,0.8927
hle_1743,zeroclaw,HLE,971,0.353119,0.32738,-0.025739,0.2503,0.8519
hle_1745,zeroclaw,HLE,1512,0.217565,0.199309,-0.018256,0.2493,0.8884
hle_1749,zeroclaw,HLE,1371,0.310928,0.274614,-0.036314,0.2502,0.8709
hle_1750,zeroclaw,HLE,6894,0.296683,0.103498,-0.193186,0.2491,0.9296
hle_1755,zeroclaw,HLE,949,0.371548,0.412562,0.041014,0.2497,0.8505
hle_1756,zeroclaw,HLE,908,0.353783,0.326745,-0.027038,0.25,0.8667
hle_176,zeroclaw,HLE,1495,0.337655,0.339785,0.002131,0.2502,0.8643
hle_1761,zeroclaw,HLE,908,0.316371,0.263976,-0.052395,0.25,0.8782
hle_1766,zeroclaw,HLE,1614,0.324027,0.305807,-0.01822,0.2497,0.8747
hle_1787,zeroclaw,HLE,6122,0.242295,0.177006,-0.065289,0.2499,0.9205
hle_179,zeroclaw,HLE,301,0.275271,0.343714,0.068443,0.2492,0.8686
hle_1792,zeroclaw,HLE,3601,0.115429,0.204777,0.089348,0.2472,0.9442
hle_1799,zeroclaw,HLE,1550,0.387628,0.406155,0.018527,0.2503,0.8045
hle_1800,zeroclaw,HLE,8361,0.190154,0.060562,-0.129592,0.2481,0.9397
hle_1803,zeroclaw,HLE,4059,0.463175,0.178214,-0.284962,0.2501,0.9066
hle_1804,zeroclaw,HLE,594,0.272961,0.215345,-0.057616,0.2508,0.8705
hle_1808,zeroclaw,HLE,2967,0.498587,0.217441,-0.281146,0.2497,0.8624
hle_1810,zeroclaw,HLE,1368,0.546772,0.431325,-0.115447,0.25,0.8247
hle_1817,zeroclaw,HLE,1804,0.32945,0.18132,-0.148131,0.2494,0.9191
hle_1827,zeroclaw,HLE,3471,0.408848,0.065522,-0.343326,0.2495,0.93
hle_1836,zeroclaw,HLE,5556,0.224597,0.140831,-0.083766,0.2496,0.9273
hle_1837,zeroclaw,HLE,2239,0.443691,0.147412,-0.29628,0.2501,0.9268
hle_184,zeroclaw,HLE,1581,0.326953,0.286684,-0.04027,0.2498,0.8521
hle_1847,zeroclaw,HLE,889,0.267042,0.649553,0.382512,0.2497,0.8355
hle_185,zeroclaw,HLE,3030,0.472483,0.312221,-0.160262,0.2498,0.8545
hle_1855,zeroclaw,HLE,1481,0.50736,0.342274,-0.165086,0.2498,0.8253
hle_1856,zeroclaw,HLE,1115,0.381858,0.322737,-0.059121,0.2502,0.8554
hle_1861,zeroclaw,HLE,1679,0.376071,0.317074,-0.058997,0.2496,0.8653
hle_1862,zeroclaw,HLE,700,0.272383,0.334824,0.062441,0.25,0.8668
hle_1863,zeroclaw,HLE,1978,0.137759,0.106559,-0.0312,0.2497,0.9497
hle_1864,zeroclaw,HLE,1000,0.353734,0.397666,0.043932,0.25,0.8737
hle_1865,zeroclaw,HLE,2113,0.232907,0.359359,0.126452,0.2494,0.8628
hle_1869,zeroclaw,HLE,1299,0.323324,0.161362,-0.161962,0.2494,0.9082
hle_187,zeroclaw,HLE,2039,0.256328,0.284835,0.028506,0.2496,0.9241
hle_1871,zeroclaw,HLE,1484,0.415475,0.308556,-0.106919,0.25,0.873
hle_1877,zeroclaw,HLE,1702,0.504341,0.27221,-0.232131,0.2503,0.8756
hle_1880,zeroclaw,HLE,1157,0.378231,0.551552,0.173321,0.2498,0.832
hle_1884,zeroclaw,HLE,854,0.296846,0.287468,-0.009378,0.2506,0.8772
hle_189,zeroclaw,HLE,1288,0.175982,0.200859,0.024877,0.25,0.8778
hle_1890,zeroclaw,HLE,2617,0.093852,0.190663,0.096812,0.2465,0.9612
hle_1909,zeroclaw,HLE,10833,0.289311,0.224393,-0.064918,0.2491,0.9099
hle_191,zeroclaw,HLE,1086,0.329822,0.172419,-0.157403,0.2505,0.8912
hle_1917,zeroclaw,HLE,2368,0.451631,0.46879,0.017159,0.25,0.8333
hle_1919,zeroclaw,HLE,993,0.632374,0.518415,-0.113959,0.2497,0.8153
hle_1920,zeroclaw,HLE,714,0.562125,0.269191,-0.292934,0.2507,0.8453
hle_1922,zeroclaw,HLE,1607,0.479744,0.341458,-0.138286,0.2502,0.8422
hle_1926,zeroclaw,HLE,3466,0.126377,0.098371,-0.028006,0.2429,0.9694
hle_1927,zeroclaw,HLE,900,0.187447,0.30262,0.115173,0.25,0.9077
hle_1928,zeroclaw,HLE,1030,0.337121,0.277199,-0.059922,0.2505,0.8801
hle_193,zeroclaw,HLE,1434,0.323362,0.199868,-0.123493,0.2503,0.8986
hle_1938,zeroclaw,HLE,1174,0.400247,0.254096,-0.146151,0.2504,0.8495
hle_1940,zeroclaw,HLE,1419,0.305844,0.25702,-0.048825,0.2502,0.9093
hle_1945,zeroclaw,HLE,1146,0.241218,0.425955,0.184737,0.2504,0.868
hle_1946,zeroclaw,HLE,1004,0.41861,0.426511,0.007901,0.25,0.8434
hle_1947,zeroclaw,HLE,1675,0.254988,0.451973,0.196986,0.2501,0.8228
hle_1958,zeroclaw,HLE,2685,0.216639,0.005253,-0.211386,0.2492,0.9351
hle_1965,zeroclaw,HLE,7913,0.233778,0.23882,0.005042,0.2496,0.9208
hle_1972,zeroclaw,HLE,4636,0.275603,0.141859,-0.133744,0.2489,0.9283
hle_1980,zeroclaw,HLE,1211,0.290755,0.353486,0.062731,0.2502,0.871
hle_2003,zeroclaw,HLE,856,0.453682,0.449341,-0.004341,0.25,0.8406
hle_2005,zeroclaw,HLE,1457,0.453831,0.312462,-0.141369,0.2498,0.8457
hle_2010,zeroclaw,HLE,1204,0.363347,0.403308,0.039961,0.25,0.8477
hle_2016,zeroclaw,HLE,2912,0.361362,0.217395,-0.143967,0.249,0.8977
hle_2022,zeroclaw,HLE,7039,0.325194,0.013629,-0.311565,0.2498,0.965
hle_2024,zeroclaw,HLE,1991,0.378049,0.218628,-0.159421,0.2501,0.8914
hle_2037,zeroclaw,HLE,928,0.252821,0.28355,0.030728,0.25,0.8997
hle_2038,zeroclaw,HLE,672,0.324789,0.30905,-0.015739,0.25,0.8781
hle_2043,zeroclaw,HLE,3171,0.192269,0.092349,-0.099919,0.2491,0.9212
hle_2046,zeroclaw,HLE,2099,0.310891,0.150636,-0.160255,0.2496,0.9011
hle_2060,zeroclaw,HLE,5794,0.499281,0.018369,-0.480913,0.2499,0.9158
hle_2062,zeroclaw,HLE,474,0.323602,0.270578,-0.053024,0.2511,0.8735
hle_2073,zeroclaw,HLE,825,0.33024,0.28694,-0.0433,0.2497,0.8811
hle_2074,zeroclaw,HLE,1092,0.396617,0.263693,-0.132924,0.25,0.8378
hle_2084,zeroclaw,HLE,4528,0.323168,0.189388,-0.13378,0.2493,0.9059
hle_2087,zeroclaw,HLE,1425,0.38007,0.452004,0.071935,0.2498,0.8315
hle_2088,zeroclaw,HLE,5596,0.29293,0.152864,-0.140065,0.2484,0.9288
hle_2091,zeroclaw,HLE,3550,0.40388,0.320432,-0.083448,0.2501,0.854
hle_2093,zeroclaw,HLE,1167,0.307864,0.333652,0.025788,0.2494,0.8842
hle_2097,zeroclaw,HLE,4296,0.448977,0.196894,-0.252083,0.2493,0.9004
hle_210,zeroclaw,HLE,3149,0.203629,0.291379,0.08775,0.2499,0.8657
hle_2111,zeroclaw,HLE,1106,0.204268,0.335047,0.130779,0.2505,0.8739
hle_2116,zeroclaw,HLE,943,0.235678,0.290144,0.054467,0.2471,0.9031
hle_2117,zeroclaw,HLE,1781,0.412054,0.312312,-0.099741,0.2499,0.8639
hle_212,zeroclaw,HLE,1416,0.468642,0.258061,-0.210581,0.25,0.8757
hle_2120,zeroclaw,HLE,2665,0.469946,0.413324,-0.056623,0.2499,0.8494
hle_2132,zeroclaw,HLE,9648,0.307801,0.115389,-0.192413,0.249,0.9303
hle_2140,zeroclaw,HLE,2686,0.244843,0.092181,-0.152663,0.2502,0.9411
hle_2153,zeroclaw,HLE,8238,0.076483,0.250301,0.173818,0.2492,0.9549
hle_2154,zeroclaw,HLE,3143,0.262238,0.187686,-0.074552,0.2501,0.8891
hle_2158,zeroclaw,HLE,5294,0.495775,0.174024,-0.321752,0.2499,0.8884
hle_2163,zeroclaw,HLE,1015,0.283984,0.338812,0.054828,0.2502,0.8726
hle_2168,zeroclaw,HLE,3095,0.453247,0.190413,-0.262834,0.2498,0.8939
hle_2174,zeroclaw,HLE,1469,0.340269,0.244466,-0.095803,0.2485,0.8919
hle_2177,zeroclaw,HLE,1084,0.369882,0.397212,0.02733,0.25,0.8222
hle_2179,zeroclaw,HLE,2025,0.361983,0.276886,-0.085097,0.2494,0.8906
hle_218,zeroclaw,HLE,911,0.50496,0.304168,-0.200792,0.2503,0.8488
hle_2181,zeroclaw,HLE,4873,0.362896,0.176768,-0.186128,0.2499,0.9128
hle_2182,zeroclaw,HLE,1856,0.350893,0.324747,-0.026146,0.25,0.8838
hle_2187,zeroclaw,HLE,4991,0.337644,0.125377,-0.212267,0.2484,0.9276
hle_2191,zeroclaw,HLE,975,0.299336,0.355883,0.056547,0.2503,0.8621
hle_2197,zeroclaw,HLE,1475,0.364339,0.391766,0.027427,0.2502,0.8574
hle_2199,zeroclaw,HLE,1660,0.253579,0.381941,0.128362,0.2494,0.8754
hle_2200,zeroclaw,HLE,1012,0.378565,0.316879,-0.061686,0.25,0.8441
hle_2202,zeroclaw,HLE,5333,0.348802,0.115282,-0.23352,0.2498,0.9316
hle_2203,zeroclaw,HLE,1409,0.244641,0.314001,0.06936,0.2498,0.8664
hle_2214,zeroclaw,HLE,3013,0.430899,0.044084,-0.386816,0.2486,0.9381
hle_2225,zeroclaw,HLE,10170,0.053223,0.098663,0.04544,0.248,0.9863
hle_2248,zeroclaw,HLE,2991,0.346152,0.399623,0.053471,0.2501,0.8668
hle_2250,zeroclaw,HLE,1151,0.342781,0.361498,0.018717,0.2502,0.8784
hle_2252,zeroclaw,HLE,1428,0.233131,0.383162,0.150032,0.2493,0.8824
hle_2257,zeroclaw,HLE,1772,0.137549,0.272147,0.134598,0.25,0.8932
hle_2261,zeroclaw,HLE,11390,0.08924,0.075828,-0.013412,0.2435,0.9654
hle_2263,zeroclaw,HLE,248,0.515565,0.226002,-0.289564,0.25,0.8849
hle_2285,zeroclaw,HLE,1056,0.370285,0.361207,-0.009078,0.25,0.846
hle_2305,zeroclaw,HLE,4243,0.406252,0.21867,-0.187582,0.2498,0.8943
hle_2308,zeroclaw,HLE,1523,0.298964,0.336933,0.037969,0.2489,0.8762
hle_2318,zeroclaw,HLE,1061,0.539049,0.545445,0.006396,0.2498,0.8029
hle_2324,zeroclaw,HLE,2520,0.583487,0.506304,-0.077183,0.25,0.7943
hle_2326,zeroclaw,HLE,5013,0.169913,0.074477,-0.095436,0.2492,0.9568
hle_2332,zeroclaw,HLE,1822,0.572999,0.368747,-0.204252,0.2503,0.8293
hle_2334,zeroclaw,HLE,892,0.248986,0.311569,0.062584,0.25,0.8743
hle_2335,zeroclaw,HLE,802,0.316637,0.462176,0.145539,0.2506,0.8596
hle_2337,zeroclaw,HLE,1333,0.359227,0.382508,0.023281,0.2498,0.8322
hle_2354,zeroclaw,HLE,2553,0.501807,0.250795,-0.251011,0.2499,0.8651
hle_236,zeroclaw,HLE,2762,0.32759,0.475188,0.147598,0.2502,0.8674
hle_2360,zeroclaw,HLE,870,0.388633,0.361454,-0.027179,0.2494,0.8603
hle_2364,zeroclaw,HLE,1099,0.381476,0.268057,-0.11342,0.2502,0.8968
hle_2367,zeroclaw,HLE,3191,0.49408,0.243694,-0.250386,0.2501,0.878
hle_2371,zeroclaw,HLE,3438,0.419966,0.224507,-0.195459,0.2499,0.8987
hle_2373,zeroclaw,HLE,8106,0.321295,0.116568,-0.204727,0.2501,0.918
hle_2379,zeroclaw,HLE,971,0.366035,0.172403,-0.193632,0.2492,0.8976
hle_2389,zeroclaw,HLE,1382,0.276324,0.196167,-0.080157,0.2504,0.8837
hle_241,zeroclaw,HLE,1051,0.271649,0.232347,-0.039301,0.2493,0.8865
hle_242,zeroclaw,HLE,415,0.23508,0.207891,-0.027189,0.2506,0.861
hle_243,zeroclaw,HLE,1291,0.161039,0.28619,0.125151,0.2494,0.8908
hle_2470,zeroclaw,HLE,242,0.194441,0.11332,-0.081121,0.2521,0.926
hle_2486,zeroclaw,HLE,1662,0.390193,0.250855,-0.139338,0.2503,0.882
hle_251,zeroclaw,HLE,1042,0.459559,0.449902,-0.009657,0.2505,0.8436
hle_262,zeroclaw,HLE,1259,0.38421,0.254089,-0.130121,0.2502,0.8629
hle_267,zeroclaw,HLE,807,0.383902,0.301125,-0.082777,0.2503,0.8642
hle_27,zeroclaw,HLE,653,0.163164,0.369894,0.20673,0.2496,0.894
hle_272,zeroclaw,HLE,3008,0.492459,0.256546,-0.235913,0.25,0.8653
hle_278,zeroclaw,HLE,2087,0.420381,0.303994,-0.116386,0.2501,0.853
hle_280,zeroclaw,HLE,1145,0.372867,0.268545,-0.104322,0.2498,0.8904
hle_283,zeroclaw,HLE,885,0.52765,0.365702,-0.161948,0.2497,0.8075
hle_288,zeroclaw,HLE,1710,0.25334,0.074187,-0.179154,0.2503,0.92
hle_293,zeroclaw,HLE,1003,0.447028,0.483893,0.036865,0.2502,0.8277
hle_294,zeroclaw,HLE,988,0.242344,0.222668,-0.019676,0.25,0.9086
