model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma4-31B,directllm,AIME,aime_28,3,1,0.16997585119153272,18352
Gemma4-31B,directllm,AIME,aime_29,0,1,0.1138340974616706,10467
Gemma4-31B,directllm,AIME,aime_29,1,1,0.12066216868858158,10837
Gemma4-31B,directllm,AIME,aime_29,2,1,0.11265093821526499,11143
Gemma4-31B,directllm,AIME,aime_29,3,1,0.12078571909512878,12430
Gemma4-31B,directllm,AIME,aime_3,0,1,0.15321965332253223,3234
Gemma4-31B,directllm,AIME,aime_3,1,1,0.1431461947558837,3870
Gemma4-31B,directllm,AIME,aime_3,2,1,0.16999963808526053,3783
Gemma4-31B,directllm,AIME,aime_3,3,1,0.1988236113031084,6574
Gemma4-31B,directllm,AIME,aime_30,0,0,0.14827557667417773,14265
Gemma4-31B,directllm,AIME,aime_30,1,0,0.11917056557242159,14040
Gemma4-31B,directllm,AIME,aime_30,2,1,0.10936933437878724,13684
Gemma4-31B,directllm,AIME,aime_30,3,1,0.12465390471197473,11905
Gemma4-31B,directllm,AIME,aime_4,0,1,0.1587462989924879,7458
Gemma4-31B,directllm,AIME,aime_4,1,1,0.15787305973690413,6796
Gemma4-31B,directllm,AIME,aime_4,2,1,0.16219959574074425,8255
Gemma4-31B,directllm,AIME,aime_4,3,1,0.17097635088025945,8405
Gemma4-31B,directllm,AIME,aime_5,0,1,0.13538437742475234,3694
Gemma4-31B,directllm,AIME,aime_5,1,1,0.13041331689898528,3270
Gemma4-31B,directllm,AIME,aime_5,2,1,0.12201789030822201,3635
Gemma4-31B,directllm,AIME,aime_5,3,1,0.11642834006841386,3131
Gemma4-31B,directllm,AIME,aime_6,0,1,0.11706935516943383,4361
Gemma4-31B,directllm,AIME,aime_6,1,1,0.12531173514824934,4844
Gemma4-31B,directllm,AIME,aime_6,2,1,0.11836013015897542,5361
Gemma4-31B,directllm,AIME,aime_6,3,1,0.14244268056776466,6367
Gemma4-31B,directllm,AIME,aime_7,0,1,0.11036038079974664,5685
Gemma4-31B,directllm,AIME,aime_7,1,1,0.10569911232553121,6918
Gemma4-31B,directllm,AIME,aime_7,2,1,0.12420057759627588,7362
Gemma4-31B,directllm,AIME,aime_7,3,1,0.11036469410200224,7755
Gemma4-31B,directllm,AIME,aime_8,0,1,0.10997502620138003,5177
Gemma4-31B,directllm,AIME,aime_8,1,1,0.10101007851648541,7088
Gemma4-31B,directllm,AIME,aime_8,2,1,0.10526696345920239,5817
Gemma4-31B,directllm,AIME,aime_8,3,1,0.10479753275486955,6362
Gemma4-31B,directllm,AIME,aime_9,0,1,0.11891226883096791,10027
Gemma4-31B,directllm,AIME,aime_9,1,1,0.12342076268402001,11391
Gemma4-31B,directllm,AIME,aime_9,2,1,0.14482101901964586,11044
Gemma4-31B,directllm,AIME,aime_9,3,1,0.09588588349938731,12229
Gemma4-31B,directllm,GPQA,gpqa_0,0,1,0.24605812138089878,1970
Gemma4-31B,directllm,GPQA,gpqa_1,0,1,0.2259209968190394,3770
Gemma4-31B,directllm,GPQA,gpqa_10,0,1,0.18797546635246062,11701
Gemma4-31B,directllm,GPQA,gpqa_100,0,0,0.27145827685842316,7780
Gemma4-31B,directllm,GPQA,gpqa_101,0,1,0.2156425904193477,10764
Gemma4-31B,directllm,GPQA,gpqa_102,0,0,0.28295556400468297,9868
Gemma4-31B,directllm,GPQA,gpqa_103,0,0,0.21785085305788324,9797
Gemma4-31B,directllm,GPQA,gpqa_104,0,1,0.23076513022694978,6094
Gemma4-31B,directllm,GPQA,gpqa_105,0,1,0.2854884186508692,6848
